user_id,proposal_id,status,event,favorited_at,scheduled_at
5,193,confirmed,2009,2009-06-04 08:28:50 -0700,2009-06-17 17:00:00 -0700
5,21,confirmed,2009,2009-06-04 08:29:06 -0700,2009-06-17 17:00:00 -0700
5,77,confirmed,2009,2009-06-04 08:29:09 -0700,2009-06-17 18:15:00 -0700
337,109,confirmed,2009,2009-06-04 08:36:20 -0700,2009-06-17 10:00:00 -0700
337,116,confirmed,2009,2009-06-04 08:37:45 -0700,2009-06-17 11:20:00 -0700
337,151,confirmed,2009,2009-06-04 08:37:51 -0700,2009-06-17 13:45:00 -0700
337,119,confirmed,2009,2009-06-04 08:40:10 -0700,2009-06-17 17:00:00 -0700
337,111,confirmed,2009,2009-06-04 08:40:13 -0700,2009-06-17 17:00:00 -0700
337,175,confirmed,2009,2009-06-04 08:40:27 -0700,2009-06-18 10:00:00 -0700
337,95,confirmed,2009,2009-06-04 08:40:29 -0700,2009-06-18 10:00:00 -0700
337,78,confirmed,2009,2009-06-04 08:41:19 -0700,2009-06-18 11:20:00 -0700
337,20,confirmed,2009,2009-06-04 08:41:24 -0700,2009-06-18 13:45:00 -0700
337,100,confirmed,2009,2009-06-04 08:41:50 -0700,2009-06-18 14:45:00 -0700
337,36,confirmed,2009,2009-06-04 08:42:26 -0700,2009-06-18 17:00:00 -0700
338,109,confirmed,2009,2009-06-04 09:14:13 -0700,2009-06-17 10:00:00 -0700
338,61,confirmed,2009,2009-06-04 09:14:42 -0700,2009-06-17 15:50:00 -0700
338,250,confirmed,2009,2009-06-04 09:14:44 -0700,2009-06-17 11:20:00 -0700
338,158,confirmed,2009,2009-06-04 09:14:59 -0700,2009-06-17 15:50:00 -0700
338,36,confirmed,2009,2009-06-04 09:15:20 -0700,2009-06-18 17:00:00 -0700
338,260,confirmed,2009,2009-06-04 09:15:39 -0700,2009-06-17 11:20:00 -0700
338,43,confirmed,2009,2009-06-04 09:15:42 -0700,2009-06-18 10:00:00 -0700
338,171,confirmed,2009,2009-06-04 09:15:49 -0700,2009-06-18 10:00:00 -0700
338,185,confirmed,2009,2009-06-04 09:16:10 -0700,2009-06-18 15:50:00 -0700
338,152,confirmed,2009,2009-06-04 09:17:13 -0700,2009-06-18 13:45:00 -0700
338,9,confirmed,2009,2009-06-04 09:19:42 -0700,2009-06-18 11:20:00 -0700
338,231,confirmed,2009,2009-06-04 09:20:23 -0700,2009-06-18 10:00:00 -0700
338,31,confirmed,2009,2009-06-04 09:21:32 -0700,2009-06-17 10:00:00 -0700
339,255,rejected,2009,2009-06-04 10:17:39 -0700,
339,263,rejected,2009,2009-06-04 10:18:24 -0700,
339,247,rejected,2009,2009-06-04 10:19:35 -0700,
339,238,rejected,2009,2009-06-04 10:20:39 -0700,
339,229,confirmed,2009,2009-06-04 10:21:24 -0700,2009-06-18 15:50:00 -0700
339,219,rejected,2009,2009-06-04 10:21:57 -0700,
339,196,proposed,2009,2009-06-04 10:23:58 -0700,
339,192,proposed,2009,2009-06-04 10:24:07 -0700,
339,181,proposed,2009,2009-06-04 10:24:46 -0700,
339,171,confirmed,2009,2009-06-04 10:25:08 -0700,2009-06-18 10:00:00 -0700
339,153,proposed,2009,2009-06-04 10:26:17 -0700,
339,152,confirmed,2009,2009-06-04 10:26:22 -0700,2009-06-18 13:45:00 -0700
339,148,proposed,2009,2009-06-04 10:26:29 -0700,
89,43,confirmed,2009,2009-06-04 10:27:04 -0700,2009-06-18 10:00:00 -0700
89,270,confirmed,2009,2009-06-04 10:27:21 -0700,2009-06-18 15:50:00 -0700
89,91,confirmed,2009,2009-06-04 10:27:41 -0700,2009-06-17 10:00:00 -0700
89,234,confirmed,2009,2009-06-04 10:27:48 -0700,2009-06-17 13:45:00 -0700
339,19,confirmed,2009,2009-06-04 10:27:55 -0700,2009-06-17 11:20:00 -0700
339,133,confirmed,2009,2009-06-04 10:28:04 -0700,2009-06-17 13:45:00 -0700
89,100,confirmed,2009,2009-06-04 10:28:12 -0700,2009-06-18 14:45:00 -0700
89,31,confirmed,2009,2009-06-04 10:28:20 -0700,2009-06-17 10:00:00 -0700
89,119,confirmed,2009,2009-06-04 10:28:33 -0700,2009-06-17 17:00:00 -0700
339,23,confirmed,2009,2009-06-04 10:28:34 -0700,2009-06-17 15:50:00 -0700
89,23,confirmed,2009,2009-06-04 10:28:42 -0700,2009-06-17 15:50:00 -0700
339,9,confirmed,2009,2009-06-04 10:28:51 -0700,2009-06-18 11:20:00 -0700
339,69,confirmed,2009,2009-06-04 10:28:54 -0700,2009-06-17 14:45:00 -0700
89,9,confirmed,2009,2009-06-04 10:29:02 -0700,2009-06-18 11:20:00 -0700
89,49,confirmed,2009,2009-06-04 10:29:13 -0700,2009-06-18 13:45:00 -0700
339,185,confirmed,2009,2009-06-04 10:29:17 -0700,2009-06-18 15:50:00 -0700
89,30,confirmed,2009,2009-06-04 10:29:21 -0700,2009-06-17 10:00:00 -0700
89,229,confirmed,2009,2009-06-04 10:29:31 -0700,2009-06-18 15:50:00 -0700
89,37,confirmed,2009,2009-06-04 10:29:48 -0700,2009-06-18 17:00:00 -0700
89,273,confirmed,2009,2009-06-04 10:30:06 -0700,2009-06-19 09:00:00 -0700
89,115,confirmed,2009,2009-06-04 10:30:14 -0700,2009-06-17 11:20:00 -0700
89,158,confirmed,2009,2009-06-04 10:30:17 -0700,2009-06-17 15:50:00 -0700
339,121,confirmed,2009,2009-06-04 10:30:20 -0700,2009-06-18 15:50:00 -0700
89,41,confirmed,2009,2009-06-04 10:30:25 -0700,2009-06-17 10:00:00 -0700
89,272,confirmed,2009,2009-06-04 10:30:37 -0700,2009-06-18 09:00:00 -0700
89,252,confirmed,2009,2009-06-04 10:30:41 -0700,2009-06-18 13:45:00 -0700
339,24,confirmed,2009,2009-06-04 10:30:44 -0700,2009-06-17 10:00:00 -0700
89,109,confirmed,2009,2009-06-04 10:30:52 -0700,2009-06-17 10:00:00 -0700
89,175,confirmed,2009,2009-06-04 10:30:55 -0700,2009-06-18 10:00:00 -0700
89,177,confirmed,2009,2009-06-04 10:31:23 -0700,2009-06-17 17:00:00 -0700
339,231,confirmed,2009,2009-06-04 10:32:35 -0700,2009-06-18 10:00:00 -0700
339,240,confirmed,2009,2009-06-04 10:33:02 -0700,2009-06-18 15:50:00 -0700
212,156,confirmed,2009,2009-06-04 10:40:21 -0700,2009-06-18 18:00:00 -0700
212,122,confirmed,2009,2009-06-04 10:42:34 -0700,2009-06-18 17:00:00 -0700
212,36,confirmed,2009,2009-06-04 10:42:36 -0700,2009-06-18 17:00:00 -0700
